"GMKEY","TB","NAME","PCODE","hitter_hra"
"20180501HHSS0","B","정두산","62425","0.258"
"20180501HHSS0","B","김호재","64407","0.388"
"20180501HHSS0","B","백승민","64410","0.256"
"20180501HHSS0","B","송준석","64469","0.311"
"20180501HHSS0","B","김민수","64793","0.360"
"20180501HHSS0","B","안주형","66406","0.333"
"20180501HHSS0","B","김선우","68416","0.211"
"20180501HHSS0","B","윤정빈","68463","0.392"
"20180501HHSS0","B","박한이","71432","0.474"
"20180501KTPL0","B","고장혁","63636","0.346"
"20180501KTPL0","B","배병옥","64166","0.373"
"20180501KTPL0","B","김재현","64499","0.294"
"20180501KTPL0","B","김호령","65653","0.243"
"20180501KTPL0","B","이현석","65869","0.360"
"20180501KTPL0","B","서예일","66203","0.333"
"20180501KTPL0","B","이성규","66409","0.417"
"20180501KTPL0","B","이진영","66657","0.286"
"20180501KTPL0","B","김민수","67504","0.304"
"20180501LGWO0","B","홍성갑","61366","0.250"
"20180501LGWO0","B","박정음","62353","0.444"
"20180501LGWO0","B","송성문","65357","0.257"
"20180501LGWO0","B","허정협","65399","0.419"
"20180501LGWO0","B","안준모","66311","0.284"
"20180501LGWO0","B","주효상","66354","0.481"
"20180501LGWO0","B","변상권","68305","0.292"
"20180501LGWO0","B","김수환","68346","0.344"
"20180501LGWO0","B","추재현","68362","0.298"
"20180501NCSK0","B","윤정우","61652","0.364"
"20180501NCSK0","B","류효용","63890","0.357"
"20180501NCSK0","B","조용호","64868","0.333"
"20180501NCSK0","B","홍준표","65803","0.296"
"20180501NCSK0","B","안상현","66864","0.211"
"20180501NCSK0","B","김강민","71837","0.237"
"20180501NCSK0","B","이대수","72860","0.368"
"20180501NCSK0","B","김재현","76869","0.450"
"20180501NCSK0","B","허도환","77243","0.130"
"20180501OBLT0","B","김동한","61204","0.182"
"20180501OBLT0","B","허일","61566","0.260"
"20180501OBLT0","B","김상호","62559","0.278"
"20180501OBLT0","B","조홍석","63593","0.261"
"20180501OBLT0","B","오윤석","64504","0.381"
"20180501OBLT0","B","전병우","65586","0.250"
"20180501OBLT0","B","나경민","66508","0.184"
"20180501OBLT0","B","나원탁","67454","0.362"
"20180501OBLT0","B","이재욱","67568","0.319"
"20180501SMHT0","B","이인행","60648","0.343"
"20180501SMHT0","B","유민상","62265","0.238"
"20180501SMHT0","B","전은석","62624","0.364"
"20180501SMHT0","B","최원준","66606","0.400"
