"GMKEY","TB","NAME","PCODE","pitcher_era"
"20180501HHSS0","B","황수범","61496","1.500"
"20180501HHSS0","T","김성훈","67762","6.750"
"20180501KTPL0","B","홍성민","62655","5.000"
"20180501KTPL0","T","박세진","66047","1.286"
"20180501LGWO0","B","김정인","65392","5.226"
"20180501LGWO0","T","손주영","67143","5.192"
"20180501NCSK0","T","이형범","62951","7.435"
"20180501NCSK0","B","정동윤","66858","4.641"
"20180501OBLT0","T","이현호","61214","6.857"
"20180501OBLT0","B","정성종","68556","3.522"
"20180501SMHT0","B","홍건희","61643","4.500"
"20180501SMHT0","T","전상현","66609","2.483"
"20180502SMHT0","B","임기준","60634","3.000"
"20180502SMHT0","T","허준혁","79535","3.337"
"20180503HHSS0","T","정재원","74748","5.604"
"20180503HHSS0","B","김기태","76461","4.869"
"20180503KTPL0","T","김용주","60764","6.864"
"20180503KTPL0","B","박준표","63638","1.667"
"20180503LGWO0","B","하영민","64350","5.283"
"20180503LGWO0","T","이창율","67159","7.714"
"20180503NCSK0","B","문광은","60845","2.935"
"20180503NCSK0","T","이도현","68905","3.857"
"20180503SMHT0","T","김정빈","63894","3.224"
"20180503SMHT0","B","이종석","65661","10.607"
"20180504HHHT0","B","박정수","65639","12.000"
"20180504HHHT0","T","김범수","65769","1.350"
"20180504KTNC0","T","김민","68043","7.448"
"20180504KTNC0","B","김시훈","68928","6.000"
"20180504LTSM0","B","강동호","67591","5.538"
"20180504LTSM0","T","김동우","68589","4.765"
"20180504PLLG0","B","윤지웅","61329","2.328"
"20180504PLLG0","T","조한욱","65827","3.857"
"20180504SKWO0","B","오윤성","67360","10.241"
"20180504SKWO0","T","남윤성","67840","2.842"
"20180505HHHT0","B","고영창","63628","4.418"
"20180505HHHT0","T","윤규진","73750","0.000"
"20180505KTNC0","B","노성호","62920","3.724"
"20180505KTNC0","T","박주현","68097","9.346"
"20180505LTSM0","B","박진태","67646","4.500"
"20180505LTSM0","T","김도규","68585","12.493"
"20180505OBSS0","T","고봉재","66201","5.492"
"20180505OBSS0","B","정인욱","79440","4.974"
"20180505PLLG0","B","백남원","63138","5.250"
"20180505PLLG0","T","임대한","66493","6.545"
"20180505SKWO0","B","이찬석","66398","9.610"
"20180505SKWO0","T","최민준","68856","9.000"
"20180508HTLT0","T","이종석","65661","9.419"
"20180508HTLT0","B","송승준","77591","0.000"
"20180508LGHH0","T","배재준","63145","3.042"
"20180508LGHH0","B","김범수","65769","3.724"
"20180508SKOB0","B","이용찬","77211","9.000"
"20180508SKOB0","T","김광현","77829","0.000"
"20180508SMKT0","B","박세진","66047","2.455"
"20180508SMKT0","T","전상현","66609","4.175"
"20180508SSPL0","B","홍성민","62655","4.765"
