"GMKEY","GDAY","TPOINT","BPOINT"
"20180501HHSS0","20180501","7","2"
"20180501KTPL0","20180501","12","13"
"20180501LGWO0","20180501","3","15"
"20180501NCSK0","20180501","10","8"
"20180501OBLT0","20180501","5","7"
"20180501SMHT0","20180501","8","9"
"20180502SMHT0","20180502","7","1"
"20180503HHSS0","20180503","15","1"
"20180503KTPL0","20180503","2","2"
"20180503LGWO0","20180503","7","8"
"20180503NCSK0","20180503","2","5"
"20180503SMHT0","20180503","2","6"
"20180504HHHT0","20180504","9","2"
"20180504KTNC0","20180504","8","16"
"20180504LTSM0","20180504","3","6"
"20180504PLLG0","20180504","3","0"
"20180504SKWO0","20180504","11","7"
"20180505HHHT0","20180505","2","1"
"20180505KTNC0","20180505","6","11"
"20180505LTSM0","20180505","3","7"
"20180505OBSS0","20180505","1","3"
"20180505PLLG0","20180505","7","6"
"20180505SKWO0","20180505","15","5"
"20180508HTLT0","20180508","2","17"
"20180508LGHH0","20180508","9","3"
"20180508SKOB0","20180508","9","3"
"20180508SMKT0","20180508","7","11"
"20180508SSPL0","20180508","3","16"
"20180508WONC0","20180508","1","3"
"20180509HTLT0","20180509","4","7"
"20180509LGHH0","20180509","5","7"
"20180509SKOB0","20180509","7","6"
"20180509SMKT0","20180509","10","9"
"20180509SSPL0","20180509","2","7"
"20180509WONC0","20180509","9","5"
"20180510HTLT0","20180510","4","5"
"20180510LGHH0","20180510","3","8"
"20180510SKOB0","20180510","4","3"
"20180510SMKT0","20180510","2","7"
"20180510SSPL0","20180510","6","8"
"20180510WONC0","20180510","2","15"
"20180511LGHT0","20180511","3","6"
"20180511LTKT0","20180511","4","9"
"20180511NCOB0","20180511","8","5"
"20180511PLSK0","20180511","11","8"
"20180511SMHH0","20180511","4","1"
"20180511SSWO0","20180511","9","3"
"20180513NCOB0","20180513","0","2"
"20180513SMHH0","20180513","5","7"
"20180515HHSK0","20180515","3","14"
"20180515KTHT0","20180515","7","7"
"20180515LTSS0","20180515","9","6"
"20180515NCLG0","20180515","4","2"
"20180515OBSM0","20180515","5","8"
"20180515WOPL0","20180515","10","19"
"20180516KTHT0","20180516","5","4"
"20180516LTSS0","20180516","5","3"
"20180517KTHT0","20180517","10","2"
"20180517LTSS0","20180517","2","6"
"20180517OBSM0","20180517","4","2"
"20180518HTSS0","20180518","21","4"
