"date","TEAM","RANK_RATE","WIN","LOSE","DRAW","WRA","AB_RATE","HIT","HR","SB","RUN","R","ER","ERR","HRA","LRA","BRA","ERA","CONTINUE_GAME","H2","H3","BB","HP","SF"
"20180403","KT","0.5000","0.0000","0.0000","1.0000","0","3.7778","10.0000","0.0000","1.0000","2.0000","2.0000","2.0000","2.0000","0.294","0.353","0.306","2","0","2.0000","0.0000","1.0000","0.0000","1.0000"
"20180404","KT","0.3333","0.0000","0.5000","0.5000","0","3.9412","9.0000","0.5000","0.5000","2.0000","4.5000","4.0000","2.0000","0.269","0.403","0.296","4.24","-1","3.0000","0.0000","1.5000","0.0000","0.5000"
"20180406","KT","0.3333","0.0000","0.5000","0.5000","0","3.9412","9.0000","0.5000","0.5000","2.0000","4.5000","4.0000","2.0000","0.269","0.403","0.296","4.24","-1","3.0000","0.0000","1.5000","0.0000","0.5000"
"20180407","KT","0.3333","0.0000","0.5000","0.5000","0","3.9412","9.0000","0.5000","0.5000","2.0000","4.5000","4.0000","2.0000","0.269","0.403","0.296","4.24","-1","3.0000","0.0000","1.5000","0.0000","0.5000"
"20180408","KT","0.0000","0.0000","0.6667","0.3333","0","3.6923","7.6667","0.3333","0.3333","1.6667","6.0000","4.3333","2.3333","0.24","0.354","0.279","4.5","-2","2.6667","0.0000","1.6667","0.3333","0.6667"
"20180410","KT","0.0000","0.0000","0.7500","0.2500","0","3.7353","6.7500","0.2500","0.5000","1.5000","5.7500","4.5000","2.0000","0.213","0.307","0.244","4.76","-3","2.2500","0.0000","1.2500","0.2500","0.5000"
"20180411","KT","0.0000","0.0000","0.6000","0.4000","0","3.7209","6.8000","0.2000","0.6000","1.4000","4.8000","3.8000","1.8000","0.213","0.294","0.247","3.98","-3","2.0000","0.0000","1.4000","0.2000","0.4000"
"20180412","KT","0.0000","0.1667","0.5000","0.3333","0.25","3.7500","7.1667","0.5000","0.6667","2.5000","4.8333","3.8333","1.5000","0.221","0.338","0.267","3.98","1","2.0000","0.1667","2.0000","0.1667","0.3333"
"20180413","KT","0.0000","0.1429","0.5714","0.2857","0.200000002980232","3.8033","7.8571","0.4286","0.5714","3.1429","5.8571","4.7143","1.5714","0.237","0.353","0.286","4.87","-1","2.2857","0.1429","2.2857","0.1429","0.4286"
"20180415","KT","0.0000","0.2500","0.5000","0.2500","0.333000004291534","3.7857","8.0000","0.3750","0.6250","3.3750","5.3750","4.3750","1.5000","0.242","0.358","0.292","4.5","1","2.2500","0.2500","2.3750","0.1250","0.3750"
"20180417","KT","0.0000","0.2222","0.5556","0.2222","0.28600001335144","3.7468","7.6667","0.3333","0.6667","3.4444","6.4444","5.4444","1.4444","0.233","0.345","0.287","5.58","-1","2.2222","0.2222","2.4444","0.2222","0.4444"
"20180418","KT","0.1667","0.3000","0.5000","0.2000","0.375","3.7727","8.2000","0.4000","0.7000","4.2000","6.7000","5.8000","1.4000","0.247","0.377","0.301","5.93","1","2.7000","0.2000","2.5000","0.3000","0.5000"
"20180419","KT","0.5000","0.3636","0.4545","0.1818","0.444000005722046","3.7835","8.7273","0.3636","1.2727","4.5455","6.5455","5.7273","1.3636","0.262","0.387","0.318","5.85","2","2.7273","0.1818","2.6364","0.3636","0.5455"
"20180420","KT","0.5000","0.4167","0.4167","0.1667","0.5","3.7642","8.7500","0.4167","1.4167","4.6667","6.0000","5.2500","1.2500","0.263","0.391","0.321","5.35","3","2.6667","0.1667","2.7500","0.3333","0.5000"
"20180421","KT","0.3333","0.3846","0.4615","0.1538","0.455000013113022","3.8158","9.2308","0.3846","1.5385","5.0769","6.4615","5.6923","1.2308","0.276","0.398","0.336","5.84","-1","2.6154","0.1538","3.0000","0.3077","0.5385"
"20180422","KT","0.5000","0.4286","0.4286","0.1429","0.5","3.7805","9.2143","0.4286","1.5714","5.2143","6.1429","5.4286","1.1429","0.277","0.402","0.345","5.56","1","2.5714","0.1429","3.3571","0.3571","0.5000"
