"GMKEY","TB","NAME","PCODE","hitter_hra"
"20180501HHSS0","T","백창수","60100","0.167"
"20180501HHSS0","T","김창혁","60184","0.368"
"20180501HHSS0","T","김민하","61554","0.369"
"20180501HHSS0","T","이도윤","65703","0.356"
"20180501HHSS0","T","이동훈","66702","0.286"
"20180501HHSS0","T","김태연","66704","0.256"
"20180501HHSS0","T","김인환","66715","0.313"
"20180501HHSS0","T","정경운","66716","0.500"
"20180501HHSS0","T","원혁재","67760","0.211"
"20180501KTPL0","T","김진곤","63088","0.372"
"20180501KTPL0","T","정현","63450","0.333"
"20180501KTPL0","T","이창진","64560","0.310"
"20180501KTPL0","T","김태훈","65040","0.333"
"20180501KTPL0","T","김만수","65044","0.353"
"20180501KTPL0","T","강승훈","66023","0.226"
"20180501KTPL0","T","김종성","67016","0.176"
"20180501KTPL0","T","전민수","78361","0.375"
"20180501KTPL0","T","하준호","78517","0.244"
"20180501LGWO0","T","김재율","61114","0.194"
"20180501LGWO0","T","양원혁","64117","0.250"
"20180501LGWO0","T","류형우","64164","0.289"
"20180501LGWO0","T","백승현","65109","0.200"
"20180501LGWO0","T","안익훈","65115","0.333"
"20180501LGWO0","T","박지규","65136","0.293"
"20180501LGWO0","T","김기연","66112","0.286"
"20180501LGWO0","T","문성주","68119","0.359"
"20180501LGWO0","T","문선재","79113","0.262"
"20180501NCSK0","T","윤병호","62016","0.280"
"20180501NCSK0","T","강구성","62917","0.319"
"20180501NCSK0","T","박헌욱","62921","0.267"
"20180501NCSK0","T","조원빈","66992","0.304"
"20180501NCSK0","T","조무성","67903","0.409"
"20180501NCSK0","T","오영수","68904","0.400"
"20180501NCSK0","T","김형준","68912","0.176"
"20180501NCSK0","T","손시헌","73213","0.333"
"20180501NCSK0","T","김진형","79234","0.556"
"20180501OBLT0","T","김도현","61360","0.288"
"20180501OBLT0","T","장승현","63202","0.407"
"20180501OBLT0","T","이우성","63260","0.237"
"20180501OBLT0","T","신성현","64086","0.353"
"20180501OBLT0","T","황경태","66207","0.393"
"20180501OBLT0","T","이병휘","67207","0.286"
"20180501OBLT0","T","파레디스","68244","0.310"
"20180501OBLT0","T","국해성","79290","0.231"
"20180501OBLT0","T","양종민","79530","0.263"
"20180501SMHT0","T","장운호","63700","0.212"
"20180501SMHT0","T","김준완","63920","0.368"
"20180501SMHT0","T","문상철","64007","0.316"
"20180501SMHT0","T","최용제","64213","0.467"
"20180501SMHT0","T","박계범","64468","0.358"
"20180501SMHT0","T","황대인","65610","0.306"
"20180501SMHT0","T","김웅빈","65898","0.235"
"20180501SMHT0","T","최승민","65905","0.200"
"20180501SMHT0","T","이재근","67092","0.316"
"20180502SMHT0","T","장운호","63700","0.216"
"20180502SMHT0","T","김준완","63920","0.356"
"20180502SMHT0","T","김민혁","64004","0.333"
"20180502SMHT0","T","문상철","64007","0.310"
"20180502SMHT0","T","최용제","64213","0.368"
"20180502SMHT0","T","박계범","64468","0.375"
"20180502SMHT0","T","강민국","64906","0.271"
"20180502SMHT0","T","황대인","65610","0.312"
"20180502SMHT0","T","김웅빈","65898","0.236"
"20180503HHSS0","T","최윤석","60805","0.226"
"20180503HHSS0","T","김민하","61554","0.377"
"20180503HHSS0","T","엄태용","62748","0.238"
"20180503HHSS0","T","박준혁","64724","0.313"
"20180503HHSS0","T","이동훈","66702","0.283"
"20180503HHSS0","T","김태연","66704","0.279"
"20180503HHSS0","T","강상원","66710","0.175"
"20180503HHSS0","T","정경운","66716","0.500"
"20180503HHSS0","T","원혁재","67760","0.261"
"20180503KTPL0","T","김진곤","63088","0.348"
"20180503KTPL0","T","정현","63450","0.316"
"20180503KTPL0","T","송민섭","64012","0.306"
"20180503KTPL0","T","이지찬","64013","0.237"
"20180503KTPL0","T","김태훈","65040","0.333"
"20180503KTPL0","T","강승훈","66023","0.235"
"20180503KTPL0","T","문상인","67063","0.148"
"20180503KTPL0","T","전민수","78361","0.407"
"20180503KTPL0","T","하준호","78517","0.244"
"20180503LGWO0","T","한석현","64101","0.171"
"20180503LGWO0","T","양원혁","64117","0.293"
"20180503LGWO0","T","류형우","64164","0.333"
"20180503LGWO0","T","백승현","65109","0.184"
"20180503LGWO0","T","김기연","66112","0.308"
"20180503LGWO0","T","김성협","67169","0.192"
"20180503LGWO0","T","문성주","68119","0.353"
"20180503LGWO0","T","최현성","68124","0.273"
"20180503LGWO0","T","문선재","79113","0.243"
"20180503NCSK0","T","윤수강","62537","0.267"
"20180503NCSK0","T","강구성","62917","0.329"
"20180503NCSK0","T","강진성","62925","0.333"
"20180503NCSK0","T","유영준","63903","0.300"
"20180503NCSK0","T","조원빈","66992","0.300"
"20180503NCSK0","T","천재환","67905","0.333"
"20180503NCSK0","T","오영수","68904","0.391"
"20180503NCSK0","T","손시헌","73213","0.375"
"20180503NCSK0","T","김진형","79234","0.583"
"20180503SMHT0","T","김준완","63920","0.364"
"20180503SMHT0","T","김민혁","64004","0.324"
"20180503SMHT0","T","문상철","64007","0.299"
"20180503SMHT0","T","최용제","64213","0.391"
"20180503SMHT0","T","박계범","64468","0.367"
"20180503SMHT0","T","강민국","64906","0.250"
"20180503SMHT0","T","황대인","65610","0.293"
"20180503SMHT0","T","김웅빈","65898","0.254"
"20180503SMHT0","T","최승민","65905","0.216"
"20180504HHHT0","T","김창혁","60184","0.409"
"20180504HHHT0","T","김민하","61554","0.366"
"20180504HHHT0","T","이도윤","65703","0.364"
"20180504HHHT0","T","이동훈","66702","0.281"
"20180504HHHT0","T","김태연","66704","0.283"
"20180504HHHT0","T","김인환","66715","0.310"
"20180504HHHT0","T","정경운","66716","0.571"
"20180504HHHT0","T","원혁재","67760","0.250"
"20180504HHHT0","T","최진행","74729","0.286"
"20180504KTNC0","T","정현","63450","0.316"
"20180504KTNC0","T","송민섭","64012","0.288"
"20180504KTNC0","T","이창진","64560","0.333"
"20180504KTNC0","T","김만수","65044","0.359"
"20180504KTNC0","T","남태혁","66052","0.361"
"20180504KTNC0","T","김종성","67016","0.205"
"20180504KTNC0","T","이창엽","68087","0.240"
"20180504KTNC0","T","김동욱","77462","0.353"
"20180504KTNC0","T","전민수","78361","0.394"
"20180504LTSM0","T","김동한","61204","0.143"
"20180504LTSM0","T","허일","61566","0.255"
"20180504LTSM0","T","김상호","62559","0.318"
"20180504LTSM0","T","임종혁","63554","0.114"
"20180504LTSM0","T","전병우","65586","0.238"
"20180504LTSM0","T","나경민","66508","0.208"
"20180504LTSM0","T","나원탁","67454","0.340"
"20180504LTSM0","T","이호연","68504","0.200"
"20180504LTSM0","T","황진수","78566","0.296"
"20180504PLLG0","T","고장혁","63636","0.321"
"20180504PLLG0","T","배병옥","64166","0.342"
"20180504PLLG0","T","김태진","64984","0.222"
"20180504PLLG0","T","김호령","65653","0.220"
"20180504PLLG0","T","홍창기","66108","0.338"
"20180504PLLG0","T","서예일","66203","0.333"
"20180504PLLG0","T","이성규","66409","0.418"
"20180504PLLG0","T","김민수","67504","0.269"
"20180504PLLG0","T","김태군","78122","0.421"
"20180504SKWO0","T","윤정우","61652","0.369"
"20180504SKWO0","T","최민재","63895","0.273"
"20180504SKWO0","T","조용호","64868","0.357"
"20180504SKWO0","T","홍준표","65803","0.344"
"20180504SKWO0","T","최준우","68868","0.226"
"20180504SKWO0","T","김강민","71837","0.220"
"20180504SKWO0","T","이대수","72860","0.346"
"20180504SKWO0","T","박정권","74846","0.278"
"20180504SKWO0","T","허도환","77243","0.167"
"20180505HHHT0","T","최윤석","60805","0.200"
"20180505HHHT0","T","엄태용","62748","0.360"
"20180505HHHT0","T","이도윤","65703","0.371"
"20180505HHHT0","T","이동훈","66702","0.258"
"20180505HHHT0","T","강상원","66710","0.182"
"20180505HHHT0","T","김인환","66715","0.307"
"20180505HHHT0","T","정경운","66716","0.526"
"20180505HHHT0","T","원혁재","67760","0.250"
"20180505HHHT0","T","최진행","74729","0.269"
"20180505KTNC0","T","김진곤","63088","0.327"
"20180505KTNC0","T","송민섭","64012","0.281"
"20180505KTNC0","T","이지찬","64013","0.233"
"20180505KTNC0","T","이창진","64560","0.340"
"20180505KTNC0","T","김만수","65044","0.333"
"20180505KTNC0","T","남태혁","66052","0.375"
"20180505KTNC0","T","홍현빈","67005","0.333"
"20180505KTNC0","T","이창엽","68087","0.276"
"20180505KTNC0","T","김동욱","77462","0.351"
"20180505LTSM0","T","김동한","61204","0.235"
"20180505LTSM0","T","허일","61566","0.259"
"20180505LTSM0","T","김상호","62559","0.280"
"20180505LTSM0","T","임종혁","63554","0.108"
"20180505LTSM0","T","나원탁","67454","0.327"
"20180505LTSM0","T","이재욱","67568","0.308"
"20180505LTSM0","T","이호연","68504","0.182"
"20180505LTSM0","T","한동희","68525","0.200"
"20180505LTSM0","T","박헌도","79356","0.259"
"20180505OBSS0","T","장승현","63202","0.400"
"20180505OBSS0","T","신성현","64086","0.324"
"20180505OBSS0","T","정기훈","64209","0.250"
"20180505OBSS0","T","사공엽","65209","0.259"
"20180505OBSS0","T","황경태","66207","0.373"
"20180505OBSS0","T","홍성호","66233","0.167"
"20180505OBSS0","T","이병휘","67207","0.315"
"20180505OBSS0","T","파레디스","68244","0.289"
"20180505OBSS0","T","국해성","79290","0.214"
"20180505PLLG0","T","윤승열","62770","0.383"
"20180505PLLG0","T","김영환","63448","0.313"
"20180505PLLG0","T","임지열","64340","0.303"
"20180505PLLG0","T","김태진","64984","0.212"
"20180505PLLG0","T","송우현","65362","0.300"
"20180505PLLG0","T","이현석","65869","0.379"
"20180505PLLG0","T","홍창기","66108","0.351"
"20180505PLLG0","T","이성규","66409","0.422"
"20180505PLLG0","T","정수빈","79231","0.274"
"20180505SKWO0","T","윤정우","61652","0.362"
"20180505SKWO0","T","이윤재","61865","0.233"
"20180505SKWO0","T","류효용","63890","0.340"
"20180505SKWO0","T","최민재","63895","0.316"
"20180505SKWO0","T","조용호","64868","0.356"
"20180505SKWO0","T","홍준표","65803","0.343"
"20180505SKWO0","T","이재록","67803","0.414"
"20180505SKWO0","T","강동권","68803","0.133"
"20180505SKWO0","T","최준우","68868","0.239"
"20180508HTLT0","T","홍재호","60605","0.429"
"20180508HTLT0","T","이인행","60648","0.310"
"20180508HTLT0","T","오준혁","61743","0.381"
"20180508HTLT0","T","유민상","62265","0.225"
"20180508HTLT0","T","한승택","63722","0.362"
"20180508HTLT0","T","최원준","66606","0.286"
"20180508HTLT0","T","류승현","66615","0.326"
"20180508HTLT0","T","김석환","67610","0.244"
"20180508HTLT0","T","오정환","68614","0.200"
"20180508LGHH0","T","이천웅","61186","0.313"
"20180508LGHH0","T","강승호","63123","0.083"
"20180508LGHH0","T","장시윤","63360","0.500"
"20180508LGHH0","T","한석현","64101","0.244"
"20180508LGHH0","T","양원혁","64117","0.292"
"20180508LGHH0","T","류형우","64164","0.340"
"20180508LGHH0","T","백승현","65109","0.180"
"20180508LGHH0","T","김기연","66112","0.292"
